"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(-72.78139, 75.30556)",7,42.08,4.33,17.27,2003,2003,2003.00
"(40.26667, -118.93333)",7,287.44,10.47,87.33,1999,1999,1999.00
"(-72.7825, 75.30028)",6,245.5,3.27,104.42,2006,2003,2004.50
"(-72.779167, 75.315556)",6,53.58,2.62,19.48,2006,2006,2006.00
"(-72.773056, 75.339167)",6,1.45,0.83,1.13,2006,2006,2006.00
"(-72.99889, 75.1872)",6,1.81,0.25,0.65,2006,2006,2006.00
"(-72.9925, 75.206389)",6,2.65,0.52,1.08,2003,2003,2003.00
"(-72.983611, 75.245833)",6,2.18,0.55,1.04,2003,2003,2003.00
"(-30.36667, 130.08333)",6,48,8,22.33,1991,1991,1991.00
"(-72.78278, 75.29889)",6,6.66,1.31,3.03,2006,2006,2006.00
"(31.1, -5.18333)",6,3540,102,1043.50,2000,2000,2000.00
"(-72.78444, 75.28028)",6,2.96,1.27,2.08,2006,2006,2006.00
"(-72.98489, 75.24867)",6,369.1,40.7,221.99,2010,2010,2010.00
"(-72.9825, 75.25)",6,1.73,0.65,1.12,2003,2003,2003.00
"(-72.77389, 75.32694)",6,14.7,1.1,6.17,2003,2003,2003.00
"(-72.98444, 75.25)",6,53.35,0.81,10.41,2003,2003,2003.00
"(21.05183, 57.26967)",6,455,98,306.67,2000,2000,2000.00
"(-71.7625, 35.9)",6,24,1.55,7.28,1974,1974,1974.00
"(-72.95404, 160.50371)",5,23.32,3.04,13.79,1990,1990,1990.00
"(-30.75, 128.08333)",5,166,10,72.66,1991,1991,1991.00
"(32.71667, -102.65)",5,1710,478,955.86,1999,1976,1980.80
"(-72.78778, 75.27028)",5,2.55,1.44,1.95,2006,2006,2006.00
"(-76.69458, 159.28725)",5,17.5,4.68,10.46,1988,1988,1988.00
"(30.33333, -5.75)",5,454,150,333.40,1999,1998,1998.20
"(-23.2, -70.43333)",5,25000,380,11636.00,1987,1986,1986.20
"(-72.779167, 75.310556)",5,20.23,0.64,6.69,2006,2003,2005.40
"(-72.77972, 75.29278)",5,38.14,11.07,26.24,2003,2003,2003.00
"(-72.95578, 160.43857)",5,17.5,1.19,7.73,1990,1990,1990.00
"(-72.77333, 75.32861)",5,21.25,10.05,15.82,2003,2003,2003.00
"(-72.58333, 31.25)",5,1234,3.58,288.31,1979,1979,1979.00
"(-72.98167, 160.43778)",5,3.06,0.64,1.83,1993,1993,1993.00
"(31.36817, -4.01683)",5,655,46,267.00,2001,2001,2001.00
"(-72.98972, 160.40667)",5,11.1,1.1,5.54,2001,1997,1997.80
"(-72.775, 75.33889)",5,71.74,0.46,16.36,2003,2003,2003.00
"(34.08333, -103.61667)",5,118.5,34.2,70.32,1969,1968,1968.20
"(-76.69139, 159.38778)",5,16.7,4.2,8.18,1981,1981,1981.00
"(-72.82531, 75.35544)",5,485.7,11.58,138.80,2010,2010,2010.00
"(-72.78194, 75.29944)",5,69.2,5.12,35.07,2006,2006,2006.00
"(-30.71061, 140.15142)",5,201,5,79.90,1992,1992,1992.00
"(-85.25, -91.0)",5,1115.7,15.4,247.70,1982,1982,1982.00
"(-72.77944, 75.29861)",5,2.42,0.51,1.48,2006,2006,2006.00
"(-76.71086, 159.15038)",4,12.12,2.12,4.86,1988,1988,1988.00
"(-72.983333, 75.249444)",4,2.19,0.55,1.44,2003,2003,2003.00
"(-72.77889, 75.31889)",4,336,15.43,106.06,2006,2006,2006.00
"(-72.983611, 75.252222)",4,1.06,0.6,0.84,2003,2003,2003.00
"(-72.775833, 75.314722)",4,1.35,0.61,1.01,2003,2003,2003.00
"(28.00083, -9.27)",4,4508,206,1881.50,2000,2000,2000.00
"(-72.95267, 160.46532)",4,19.7,0.6,9.38,2009,2009,2009.00
"(-72.77389, 75.33944)",4,8.08,0.46,2.97,2003,2003,2003.00
"(30.808, -5.85583)",4,629,36,220.50,2001,2001,2001.00
"(-72.98417, 75.24528)",4,1.27,0.5,0.87,2006,2003,2005.25
"(-72.77333, 75.33861)",4,1.33,0.45,0.84,2003,2003,2003.00
"(-72.77922, 75.31547)",4,698.93,141.85,368.25,2010,2010,2010.00
"(-72.7825, 75.300278)",4,1.4,0.7,0.95,2006,2006,2006.00
"(-72.77972, 75.3075)",4,3.27,1.53,2.44,2006,2006,2006.00
"(-30.31667, 126.61667)",4,25000,55.1,6433.60,2008,1984,1991.50
"(-72.781944, 75.323056)",4,5.11,0.99,2.85,2006,2003,2005.25
"(-72.98944, 160.40222)",4,0.7,0.1,0.50,2001,2001,2001.00
"(-72.77833, 75.3175)",4,94.1,6.22,44.60,2006,2006,2006.00
"(-72.78194, 75.31472)",4,77.07,8.76,44.04,2006,2006,2006.00
"(27.18383, 16.12883)",4,607,58,267.25,1997,1997,1997.00
"(-72.983889, 75.245556)",4,21.69,1.4,6.78,2006,2003,2005.25
"(34.08333, -103.51667)",4,94.3,22.2,49.65,1990,1968,1973.75
"(-72.785, 75.27139)",4,2.13,0.51,1.51,2006,2006,2006.00
"(-72.95167, 160.51167)",4,11.3,3.7,7.53,2001,2001,2001.00
"(-72.773333, 75.328611)",4,5.2,1.41,2.79,2006,2006,2006.00
"(19.91667, 56.25)",4,1132,243,715.40,2000,1958,1968.50
"(-84.27855, 161.6194)",4,70.9,14.1,28.75,1986,1986,1986.00
"(-72.984444, 75.2525)",4,1.09,0.56,0.83,2003,2003,2003.00
"(-76.6875, 159.35805)",4,21.5,0.9,8.58,1981,1981,1981.00
"(-72.785, 75.28333)",4,0.84,0.51,0.68,2006,2006,2006.00
"(-72.99667, 160.41722)",4,5.7,0.4,2.93,1995,1995,1995.00
"(-72.83333, 24.5)",4,1595,46.42,662.29,1988,1986,1986.50
"(-72.77972, 75.31611)",4,29.98,6.5,16.63,2006,2006,2006.00
"(-84.75, -125.0)",4,3864.6,196.4,1301.25,1990,1990,1990.00
"(-25.58333, -69.78333)",4,3384,441,1235.00,2010,2010,2010.00
"(-76.96667, 162.0)",4,23.4,0.7,9.05,1992,1992,1992.00
"(-72.782778, 75.277222)",4,1.16,0.6,0.83,2003,2003,2003.00
"(-72.78389, 75.27167)",4,2.77,1.16,1.81,2006,2006,2006.00
"(-72.781944, 75.300556)",4,1.45,0.7,0.91,2006,2006,2006.00
"(-72.77361, 75.32028)",4,0.67,0.47,0.56,2003,2003,2003.00
"(-87.36667, -149.5)",4,2480.7,21.9,1557.38,1988,1988,1988.00
"(-32.91667, 141.88333)",4,270,68.2,145.78,1969,1969,1969.00
"(27.27183, 16.0535)",4,240,56,114.25,1997,1997,1997.00
"(-72.98389, 75.25)",4,3.96,0.47,1.44,2003,2003,2003.00
"(-30.15, 128.08333)",4,1000,26.9,272.53,1982,1979,1981.25
"(26.96667, 16.36667)",4,344,74,190.50,1999,1999,1999.00
"(-72.95417, 160.43639)",4,13.9,0.9,4.68,1996,1995,1995.25
"(-72.95431, 160.50065)",4,32.44,7.1,16.26,1991,1990,1990.25
"(-76.69222, 159.39055)",4,15.7,5,8.30,1981,1981,1981.00
"(-72.98972, 160.40722)",4,5,3.09,3.88,2001,1993,1997.00
"(-72.77444, 75.32278)",3,1.2,0.48,0.76,2003,2003,2003.00
"(-72.9556, 160.43857)",3,15.8,2.85,9.38,1990,1990,1990.00
"(27.23333, 16.11667)",3,137,58,97.00,2000,2000,2000.00
"(-72.775, 75.338889)",3,84.73,0.52,29.02,2003,2003,2003.00
"(-72.91611, 75.1003)",3,8.23,1.19,4.27,2006,2006,2006.00
"(34.21667, -103.28333)",3,12,7.7,9.47,1983,1973,1978.00
"(-72.99133, 160.417)",3,13.2,3.6,8.37,1995,1995,1995.00
"(-72.773611, 75.320278)",3,1.36,0.82,1.13,2003,2003,2003.00
"(-23.08333, 14.715)",3,1039,902,948.00,1991,1991,1991.00
"(27.48333, 3.85)",3,721,153,398.00,1990,1990,1990.00
"(-72.983889, 75.251389)",3,2.46,1,1.77,2003,2003,2003.00
"(-72.781111, 75.292222)",3,9.74,8.44,9.29,2003,2003,2003.00
"(27.7, 4.35)",3,183,125,158.00,1990,1990,1990.00
"(-72.773889, 75.326944)",3,3.33,1.45,2.46,2006,2003,2005.00
"(21.19918, 58.41272)",3,26.84,4.92,14.73,2006,2006,2006.00
"(-72.93417, 75.32)",3,11.69,2.16,6.02,2006,2006,2006.00
"(-72.95333, 160.5225)",3,28.2,1.4,15.23,1997,1997,1997.00
"(-72.78, 75.31972)",3,21.18,12.57,15.45,2006,2006,2006.00
"(34.67167, -101.815)",3,26760,3500,12735.67,1981,1966,1975.67
"(-72.77833, 75.31833)",3,3.88,1.38,2.48,2006,2006,2006.00
"(-72.983611, 75.247222)",3,1.85,1.16,1.59,2003,2003,2003.00
"(-72.98889, 160.40611)",3,8,2.9,5.43,2001,1997,1999.67
"(-72.7739, 75.3394)",3,9.8,0.48,6.68,2003,2003,2003.00
"(-72.775, 75.34111)",3,2.43,1.31,1.75,2003,2003,2003.00
"(-72.78, 75.31194)",3,19.47,6.82,14.27,2006,2006,2006.00
"(26.18667, 25.45567)",3,80.1,7.72,32.04,2006,2006,2006.00
"(-72.77528, 75.33861)",3,67.46,50.61,61.51,2006,2006,2006.00
"(-72.77611, 75.33444)",3,21.69,1.28,10.37,2006,2006,2006.00
"(-72.95228, 160.50106)",3,17.16,0.9,6.34,2004,2004,2004.00
"(-76.68444, 159.35722)",3,10.2,3,6.03,1981,1981,1981.00
"(27.65, 4.03333)",3,490,216,322.67,2001,1990,1993.67
"(-72.95194, 160.52222)",3,5.4,3.71,4.34,2003,2001,2002.33
"(-72.98361, 75.24722)",3,5.47,1.56,2.86,2003,2003,2003.00
"(-72.78194, 75.30056)",3,2.43,1.27,1.83,2006,2006,2006.00
"(26.96667, 16.38333)",3,213,74,156.67,1999,1999,1999.00
"(27.25, 16.13333)",3,261,52,165.33,2000,1999,1999.67
"(-76.68806, 159.36084)",3,17,8.7,12.93,1981,1981,1981.00
"(-72.778333, 75.311944)",3,8.45,2.18,5.52,2003,2003,2003.00
"(-72.77361, 75.33917)",3,1.08,0.65,0.91,2003,2003,2003.00
"(34.8, -103.31667)",3,9300,4230,6410.00,1970,1933,1946.67
"(-72.77836, 75.31969)",3,47.96,21.62,35.54,2010,2010,2010.00
"(27.73333, 4.43333)",3,745.22,82,362.74,2002,1990,1997.67
"(-72.77444, 75.32167)",3,1.8,1.29,1.54,2003,2003,2003.00
"(-30.32, 126.606)",3,104.3,13.63,48.73,1993,1993,1993.00
"(-72.78083, 75.30361)",3,1.41,1.38,1.40,2006,2006,2006.00
"(-72.775, 75.335278)",3,0.82,0.7,0.76,2006,2006,2006.00
"(-72.9825, 75.25028)",3,0.87,0.45,0.59,2003,2003,2003.00
"(-72.95583, 160.43833)",3,24.79,3.18,11.17,1990,1990,1990.00
"(-72.7725, 75.34667)",3,5.13,2.21,3.19,2006,2006,2006.00
"(-72.95359, 160.50952)",3,18.8,8.9,12.63,1990,1990,1990.00
"(-72.778889, 75.316667)",3,11.94,0.82,4.84,2006,2006,2006.00
"(-72.781389, 75.271389)",3,1.4,0.76,0.98,2006,2006,2006.00
"(-72.778333, 75.320833)",3,9.08,6,8.03,2003,2003,2003.00
"(-72.785, 75.271389)",3,1.41,0.76,1.04,2006,2006,2006.00
"(27.28333, 16.1)",3,386,114,233.33,1999,1999,1999.00
"(-72.78472, 75.28917)",3,3.96,1.8,3.09,2006,2006,2006.00
"(27.08333, 16.11667)",3,211,100,147.33,2000,2000,2000.00
"(-72.93472, 75.32028)",3,88.91,18.63,46.12,2003,2003,2003.00
"(27.08333, 16.36667)",3,734,8,253.00,2000,1999,1999.33
"(-72.98417, 75.24639)",3,0.64,0.45,0.52,2003,2003,2003.00
