"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(-77.03955, 157.07117)",1,29.4,29.4,29.40,1984,1984,1984.00
"(19.67742, 56.60385)",1,159.4,159.4,159.40,2007,2007,2007.00
"(-76.27072, 156.45159)",1,5.7,5.7,5.70,1990,1990,1990.00
"(-84.25356, 161.40979)",1,43.9,43.9,43.90,1987,1987,1987.00
"(18.98865, 54.40313)",1,28.9,28.9,28.90,2008,2008,2008.00
"(-84.27411, 161.67816)",1,14.8,14.8,14.80,1986,1986,1986.00
"(-76.91024, 156.79453)",1,213.9,213.9,213.90,1984,1984,1984.00
"(19.091944, 54.805556)",1,316,316,316.00,2004,2004,2004.00
"(-77.04237, 157.25116)",1,44.6,44.6,44.60,1982,1982,1982.00
"(-76.28308, 156.44172)",1,48.1,48.1,48.10,1987,1987,1987.00
"(-76.29, 157.2775)",1,87,87,87.00,1983,1983,1983.00
"(29.04383, 13.0295)",1,73,73,73.00,2000,2000,2000.00
"(-72.95328, 160.43934)",1,34.6,34.6,34.60,1990,1990,1990.00
"(-27.08333, -70.58333)",1,1280,1280,1280.00,1959,1959,1959.00
"(27.6, 3.96667)",1,43,43,43.00,1990,1990,1990.00
"(-76.95195, 156.91759)",1,19.2,19.2,19.20,1984,1984,1984.00
"(27.16033, 16.03533)",1,86,86,86.00,1995,1995,1995.00
"(19.77022, 55.594)",1,1015,1015,1015.00,2011,2011,2011.00
"(37.66667, -96.76667)",1,30000,30000,30000.00,1943,1943,1943.00
"(-72.97806, 75.26333)",1,11.5,11.5,11.50,2003,2003,2003.00
"(-72.98083, 75.25556)",1,24.4,24.4,24.40,2003,2003,2003.00
"(26.61667, 26.19933)",1,40.94,40.94,40.94,2007,2007,2007.00
"(27.2915, 16.21333)",1,77,77,77.00,1997,1997,1997.00
"(-84.25101, 161.40598)",1,37,37,37.00,1988,1988,1988.00
"(-76.01319, 155.65975)",1,81.7,81.7,81.70,1992,1992,1992.00
"(-76.32838, 157.22983)",1,116,116,116.00,1986,1986,1986.00
"(18.17833, 54.18167)",1,308,308,308.00,2000,2000,2000.00
"(-72.79, 75.283333)",1,2.24,2.24,2.24,2006,2006,2006.00
"(-72.9625, 160.5675)",1,201.6,201.6,201.60,1999,1999,1999.00
"(27.1915, 16.115)",1,259,259,259.00,1996,1996,1996.00
"(31.33333, 121.66667)",1,27900,27900,27900.00,1964,1964,1964.00
"(27.63556, 4.02528)",1,402,402,402.00,1991,1991,1991.00
"(-76.28782, 156.43144)",1,5.2,5.2,5.20,1990,1990,1990.00
"(19.16693, 54.67182)",1,79.4,79.4,79.40,2003,2003,2003.00
"(-76.28601, 156.37789)",1,103.9,103.9,103.90,1990,1990,1990.00
"(-76.2676, 156.46343)",1,215.5,215.5,215.50,1987,1987,1987.00
"(19.6561, 56.37182)",1,51.3,51.3,51.30,2009,2009,2009.00
"(19.23902, 54.82563)",1,258,258,258.00,2000,2000,2000.00
"(-76.26807, 156.41942)",1,194.6,194.6,194.60,1990,1990,1990.00
"(18.51667, 54.22833)",1,602,602,602.00,2002,2002,2002.00
"(18.79307, 54.62728)",1,296,296,296.00,2000,2000,2000.00
"(19.19135, 54.65545)",1,42.03,42.03,42.03,2001,2001,2001.00
"(-76.27016, 156.41444)",1,30.2,30.2,30.20,1990,1990,1990.00
"(-84.23535, 161.46533)",1,13.5,13.5,13.50,1988,1988,1988.00
"(18.15897, 54.26892)",1,222.2,222.2,222.20,2009,2009,2009.00
"(27.20517, 16.13933)",1,223.83,223.83,223.83,1997,1997,1997.00
"(39.66667, -118.96667)",1,4700,4700,4700.00,1995,1995,1995.00
"(19.16585, 54.75222)",1,120,120,120.00,2001,2001,2001.00
"(-84.27375, 161.69293)",1,16.6,16.6,16.60,1986,1986,1986.00
"(-72.779444, 75.298611)",1,0.83,0.83,0.83,2006,2006,2006.00
"(-76.27208, 156.43668)",1,16.5,16.5,16.50,1990,1990,1990.00
"(-73.017222, 75.255556)",1,20.49,20.49,20.49,2006,2006,2006.00
"(-84.2838, 161.34972)",1,22.1,22.1,22.10,1988,1988,1988.00
"(18.46, 54.058)",1,2.51,2.51,2.51,2007,2007,2007.00
"(19.16633, 54.74333)",1,89,89,89.00,1999,1999,1999.00
"(-72.95333, 160.48944)",1,8.23,8.23,8.23,2003,2003,2003.00
"(-72.99528, 75.20444)",1,37.3,37.3,37.30,2003,2003,2003.00
"(-76.27256, 156.51212)",1,15.8,15.8,15.80,1990,1990,1990.00
"(38.0, -108.5)",1,8600,8600,8600.00,1912,1912,1912.00
"(51.13889, -1.53611)",1,30,30,30.00,1974,1974,1974.00
"(30.65833, 12.30667)",1,20.8,20.8,20.80,1990,1990,1990.00
"(-84.28402, 161.3713)",1,13.1,13.1,13.10,1985,1985,1985.00
"(-72.99417, 75.20528)",1,209,209,209.00,2003,2003,2003.00
"(-72.95614, 160.43444)",1,72.06,72.06,72.06,1990,1990,1990.00
"(27.9265, 16.90417)",1,462,462,462.00,1999,1999,1999.00
"(-76.77046, 158.15787)",1,6.4,6.4,6.40,1983,1983,1983.00
"(29.36667, -100.96667)",1,3596,3596,3596.00,1965,1965,1965.00
"(-84.25581, 161.40856)",1,13.5,13.5,13.50,1986,1986,1986.00
"(27.91617, 15.83783)",1,68,68,68.00,1997,1997,1997.00
"(-72.95308, 160.4765)",1,3.99,3.99,3.99,2003,2003,2003.00
"(27.06967, 16.0965)",1,94,94,94.00,1999,1999,1999.00
"(-72.78639, 75.28361)",1,11.48,11.48,11.48,2006,2006,2006.00
"(-76.27936, 156.42358)",1,47.1,47.1,47.10,1990,1990,1990.00
"(-84.34492, 161.47161)",1,1.9,1.9,1.90,1987,1987,1987.00
"(19.09167, 54.38667)",1,550,550,550.00,2002,2002,2002.00
"(-76.80207, 158.15703)",1,1.9,1.9,1.90,1984,1984,1984.00
"(-72.95261, 160.5268)",1,8.4,8.4,8.40,1990,1990,1990.00
"(-84.25344, 161.43918)",1,12.7,12.7,12.70,1987,1987,1987.00
"(-72.7733, 75.3369)",1,0.59,0.59,0.59,2003,2003,2003.00
"(19.84067, 57.00842)",1,1861.21,1861.21,1861.21,2002,2002,2002.00
"(19.6604, 56.96172)",1,4235,4235,4235.00,2004,2004,2004.00
"(-76.28023, 156.43436)",1,85.9,85.9,85.90,1990,1990,1990.00
"(-76.28346, 156.45159)",1,25.9,25.9,25.90,1987,1987,1987.00
"(-84.23886, 161.44105)",1,10.7,10.7,10.70,1988,1988,1988.00
"(-72.77717, 75.31267)",1,235.73,235.73,235.73,2010,2010,2010.00
"(-72.95083, 160.454)",1,1.8,1.8,1.80,1993,1993,1993.00
"(-72.95292, 160.49742)",1,12.7,12.7,12.70,2003,2003,2003.00
"(18.5985, 54.03383)",1,64.3,64.3,64.30,2001,2001,2001.00
"(-76.27955, 156.46541)",1,22.7,22.7,22.70,1990,1990,1990.00
"(-76.2825, 157.24055)",1,71.9,71.9,71.90,1983,1983,1983.00
"(18.2447, 53.9978)",1,33.7,33.7,33.70,2001,2001,2001.00
"(-84.27247, 161.71806)",1,37,37,37.00,1987,1987,1987.00
"(-76.03951, 156.07932)",1,0.4,0.4,0.40,1992,1992,1992.00
"(-84.25485, 161.34317)",1,15.1,15.1,15.10,1986,1986,1986.00
"(-72.83472, 75.42111)",1,154.8,154.8,154.80,1999,1999,1999.00
"(19.95952, 56.42197)",1,61,61,61.00,2005,2005,2005.00
"(-84.36734, 161.25271)",1,245.1,245.1,245.10,1987,1987,1987.00
"(18.34833, 54.33667)",1,1930,1930,1930.00,2001,2001,2001.00
"(-84.27367, 161.69406)",1,3.7,3.7,3.70,1986,1986,1986.00
"(-76.27107, 156.47264)",1,3,3,3.00,1987,1987,1987.00
"(-72.79028, 75.27306)",1,0.51,0.51,0.51,2006,2006,2006.00
"(28.4595, 12.87067)",1,69.8,69.8,69.80,2000,2000,2000.00
"(27.45967, 16.07267)",1,128,128,128.00,1997,1997,1997.00
"(18.535, 54.13333)",1,212,212,212.00,2002,2002,2002.00
"(-84.27379, 161.68976)",1,22.7,22.7,22.70,1986,1986,1986.00
"(-72.85444, 75.21083)",1,28.09,28.09,28.09,2003,2003,2003.00
"(-25.2, 18.08333)",1,140000,140000,140000.00,1996,1996,1996.00
"(27.126, 16.1065)",1,95,95,95.00,1996,1996,1996.00
"(-72.778056, 75.272778)",1,20.21,20.21,20.21,2006,2006,2006.00
"(18.89667, 54.53833)",1,98,98,98.00,2000,2000,2000.00
"(-72.778333, 75.302222)",1,1.6,1.6,1.60,2003,2003,2003.00
"(23.66667, -1.81667)",1,4500,4500,4500.00,1989,1989,1989.00
"(-76.85329, 156.30473)",1,23,23,23.00,1985,1985,1985.00
"(-76.2675, 156.44222)",1,1.2,1.2,1.20,1990,1990,1990.00
"(-76.68722, 159.26306)",1,42.3,42.3,42.30,1981,1981,1981.00
"(-76.72213, 158.71676)",1,141.5,141.5,141.50,1988,1988,1988.00
"(-76.28389, 157.25083)",1,3.2,3.2,3.20,1983,1983,1983.00
"(19.37127, 55.36915)",1,244.6,244.6,244.60,2009,2009,2009.00
"(-76.67844, 159.26614)",1,797.7,797.7,797.70,1981,1981,1981.00
"(-76.27538, 156.5118)",1,29.9,29.9,29.90,1990,1990,1990.00
"(19.66393, 55.69107)",1,19.36,19.36,19.36,2011,2011,2011.00
"(19.32833, 54.705)",1,116,116,116.00,2000,2000,2000.00
"(-38.1, 145.3)",1,8600000,8600000,8600000.00,1854,1854,1854.00
"(19.29167, 55.24333)",1,202,202,202.00,2000,2000,2000.00
"(-72.95233, 160.52183)",1,2.71,2.71,2.71,2003,2003,2003.00
"(18.16358, 54.27542)",1,621,621,621.00,2009,2009,2009.00
"(18.71983, 54.19695)",1,206,206,206.00,2001,2001,2001.00
"(-72.778611, 75.317778)",1,9.33,9.33,9.33,2006,2006,2006.00
"(18.99833, 54.585)",1,144,144,144.00,2001,2001,2001.00
"(-76.9892, 156.93936)",1,10,10,10.00,1985,1985,1985.00
"(-73.09639, 75.2025)",1,1.67,1.67,1.67,2002,2002,2002.00
"(-76.26634, 156.4035)",1,11,11,11.00,1990,1990,1990.00
"(-72.77417, 75.33111)",1,6.46,6.46,6.46,2003,2003,2003.00
"(-76.27922, 156.44865)",1,66.4,66.4,66.40,1990,1990,1990.00
"(-72.95528, 160.44)",1,3.98,3.98,3.98,1990,1990,1990.00
"(-76.31444, 157.18528)",1,152.2,152.2,152.20,1984,1984,1984.00
"(-76.84838, 156.42015)",1,11.9,11.9,11.90,1985,1985,1985.00
"(-76.26948, 156.48461)",1,24.6,24.6,24.60,1990,1990,1990.00
"(-76.82204, 158.20666)",1,1.7,1.7,1.70,1983,1983,1983.00
"(-72.78139, 75.30167)",1,2.92,2.92,2.92,2006,2006,2006.00
"(-84.27374, 161.69169)",1,18.5,18.5,18.50,1986,1986,1986.00
"(-72.777778, 75.3325)",1,2.86,2.86,2.86,2006,2006,2006.00
"(-84.23666, 161.44729)",1,4.1,4.1,4.10,1988,1988,1988.00
"(-76.71556, 159.28917)",1,11.2,11.2,11.20,1981,1981,1981.00
"(25.22367, 0.8456)",1,1388,1388,1388.00,2003,2003,2003.00
"(27.63333, 3.93333)",1,101,101,101.00,2002,2002,2002.00
"(-72.7783, 75.3139)",1,3.42,3.42,3.42,2003,2003,2003.00
"(27.202, 16.36733)",1,1616,1616,1616.00,1997,1997,1997.00
"(-76.27207, 156.43683)",1,13.1,13.1,13.10,1990,1990,1990.00
"(-84.27406, 161.68131)",1,49.4,49.4,49.40,1986,1986,1986.00
"(-76.03337, 156.03157)",1,22.5,22.5,22.50,1987,1987,1987.00
"(-76.29611, 157.23917)",1,18.6,18.6,18.60,1983,1983,1983.00
"(29.31667, 31.28333)",1,NULL,NULL,NULL,1911,1911,1911.00
"(-73.113333, 75.103889)",1,0.63,0.63,0.63,2006,2006,2006.00
"(27.10767, 16.32383)",1,990,990,990.00,1995,1995,1995.00
"(19.78115, 56.47643)",1,192.77,192.77,192.77,2005,2005,2005.00
"(-76.03095, 156.03015)",1,11.4,11.4,11.40,1992,1992,1992.00
"(-76.26526, 156.42276)",1,48.7,48.7,48.70,1990,1990,1990.00
"(-76.28468, 156.47516)",1,79,79,79.00,1990,1990,1990.00
"(27.50194, 3.92111)",1,1301,1301,1301.00,1991,1991,1991.00
"(27.4505, 16.22383)",1,82,82,82.00,1999,1999,1999.00
"(27.12017, 16.11117)",1,254,254,254.00,1996,1996,1996.00
"(-76.27512, 156.36181)",1,1230.8,1230.8,1230.80,1987,1987,1987.00
"(18.87717, 54.3675)",1,231,231,231.00,2006,2006,2006.00
"(-76.84703, 156.32009)",1,7.5,7.5,7.50,1985,1985,1985.00
"(27.26783, 16.41317)",1,703,703,703.00,1995,1995,1995.00
"(-84.27387, 161.68949)",1,7.6,7.6,7.60,1986,1986,1986.00
"(19.75223, 56.3106)",1,2421.6,2421.6,2421.60,2007,2007,2007.00
"(39.33333, -97.56167)",1,3900,3900,3900.00,1972,1972,1972.00
"(-84.34738, 161.48221)",1,0.5,0.5,0.50,1987,1987,1987.00
"(18.34167, 54.195)",1,120,120,120.00,2000,2000,2000.00
"(-72.984167, 75.252222)",1,2.09,2.09,2.09,2003,2003,2003.00
"(27.02317, 16.41317)",1,29,29,29.00,1997,1997,1997.00
"(-84.35317, 161.42588)",1,455.7,455.7,455.70,1987,1987,1987.00
"(18.23083, 54.09)",1,58,58,58.00,2003,2003,2003.00
"(66.4, 137.46667)",1,24900,24900,24900.00,1941,1941,1941.00
"(19.98715, 56.4177)",1,1185.51,1185.51,1185.51,2002,2002,2002.00
"(19.105, 54.81167)",1,1500,1500,1500.00,2002,2002,2002.00
"(-84.34664, 161.32782)",1,0.2,0.2,0.20,1987,1987,1987.00
"(-72.90194, 161.16644)",1,16.1,16.1,16.10,2003,2003,2003.00
"(35.05878, -116.773)",1,67.61,67.61,67.61,1999,1999,1999.00
"(-72.779444, 75.311667)",1,28.6,28.6,28.60,2006,2006,2006.00
"(31.481, 9.84069)",1,627,627,627.00,2008,2008,2008.00
"(-76.68239, 159.3454)",1,3.6,3.6,3.60,1985,1985,1985.00
"(19.93903, 56.42808)",1,170.69,170.69,170.69,2002,2002,2002.00
"(19.36202, 55.61702)",1,437.3,437.3,437.30,2003,2003,2003.00
"(-84.25691, 161.3546)",1,15.4,15.4,15.40,1986,1986,1986.00
"(-30.8, -53.9)",1,1000,1000,1000.00,1985,1985,1985.00
"(18.20833, 54.12)",1,508,508,508.00,2002,2002,2002.00
"(-84.25163, 161.3654)",1,54.7,54.7,54.70,1986,1986,1986.00
"(18.25167, 54.19833)",1,3536,3536,3536.00,2000,2000,2000.00
"(18.9842, 54.64507)",1,1140,1140,1140.00,2011,2011,2011.00
"(-76.28341, 156.43938)",1,23.2,23.2,23.20,1987,1987,1987.00
"(-76.28389, 157.20056)",1,330.9,330.9,330.90,1983,1983,1983.00
"(19.11167, 54.8195)",1,126,126,126.00,1999,1999,1999.00
"(-84.23586, 161.41952)",1,19.9,19.9,19.90,1988,1988,1988.00
"(19.3034, 55.70585)",1,144.5,144.5,144.50,2003,2003,2003.00
"(-32.1, 125.68333)",1,6.4,6.4,6.40,1966,1966,1966.00
"(18.42112, 54.58853)",1,362,362,362.00,2000,2000,2000.00
"(27.52367, 16.15117)",1,370,370,370.00,1997,1997,1997.00
"(-76.86188, 156.50066)",1,12.7,12.7,12.70,1985,1985,1985.00
"(33.25, 10.46667)",1,62,62,62.00,2002,2002,2002.00
"(-76.27116, 156.42168)",1,48.5,48.5,48.50,1990,1990,1990.00
"(38.30667, -99.71)",1,11000,11000,11000.00,1958,1958,1958.00
"(18.86975, 54.840111)",1,732,732,732.00,2005,2005,2005.00
"(-73.00056, 75.19056)",1,4.97,4.97,4.97,2006,2006,2006.00
"(19.60597, 56.4297)",1,513.831,513.831,513.83,2007,2007,2007.00
"(-76.05212, 156.26191)",1,17,17,17.00,1992,1992,1992.00
"(19.38333, 54.59333)",1,102,102,102.00,2002,2002,2002.00
"(-30.33333, 130.53333)",1,105000,105000,105000.00,1989,1989,1989.00
"(18.7166, 54.36753)",1,362,362,362.00,2001,2001,2001.00
"(18.85367, 54.64705)",1,538,538,538.00,2000,2000,2000.00
"(18.1575, 54.09333)",1,114,114,114.00,2000,2000,2000.00
"(26.87267, 16.70367)",1,149,149,149.00,1999,1999,1999.00
"(24.16667, -102.0)",1,130,130,130.00,1998,1998,1998.00
"(-76.2814, 156.45061)",1,12.5,12.5,12.50,1987,1987,1987.00
"(28.21417, 15.55083)",1,265,265,265.00,2007,2007,2007.00
"(27.33333, 16.25)",1,80,80,80.00,1999,1999,1999.00
"(-76.28393, 156.46453)",1,32.4,32.4,32.40,1990,1990,1990.00
"(32.84078, 9.90705)",1,73,73,73.00,2010,2010,2010.00
"(-72.78, 75.32)",1,56.18,56.18,56.18,2006,2006,2006.00
"(49.65, 29.63333)",1,26.6,26.6,26.60,1898,1898,1898.00
"(19.95765, 56.17768)",1,25.091,25.091,25.09,2007,2007,2007.00
"(18.63333, 54.3475)",1,451,451,451.00,2008,2008,2008.00
"(18.46117, 54.36633)",1,388,388,388.00,2008,2008,2008.00
"(27.93133, 15.8675)",1,193,193,193.00,1998,1998,1998.00
"(33.96667, -87.91667)",1,34500,34500,34500.00,1969,1969,1969.00
"(-76.91791, 156.70947)",1,75,75,75.00,1985,1985,1985.00
"(18.91925, 54.26692)",1,237.94,237.94,237.94,2001,2001,2001.00
"(-84.25216, 161.38367)",1,11.9,11.9,11.90,1988,1988,1988.00
"(19.96632, 56.21755)",1,14.745,14.745,14.75,2007,2007,2007.00
"(19.83555, 56.44693)",1,140.569,140.569,140.57,2007,2007,2007.00
"(29.61778, 11.77361)",1,777,777,777.00,1986,1986,1986.00
"(-76.29002, 156.43221)",1,5.5,5.5,5.50,1990,1990,1990.00
"(18.39818, 54.07842)",1,2516.2,2516.2,2516.20,2003,2003,2003.00
"(18.425, 54.16)",1,205,205,205.00,2001,2001,2001.00
"(19.79147, 56.41468)",1,36.9,36.9,36.90,2007,2007,2007.00
"(35.3248, -117.47983)",1,123,123,123.00,1986,1986,1986.00
"(27.55194, 3.81611)",1,2393,2393,2393.00,1992,1992,1992.00
"(19.04028, 54.49387)",1,72.14,72.14,72.14,2001,2001,2001.00
"(-76.28286, 156.40906)",1,5.3,5.3,5.30,1990,1990,1990.00
"(-76.68972, 159.24917)",1,163.5,163.5,163.50,1981,1981,1981.00
"(18.32667, 54.21833)",1,1910,1910,1910.00,2000,2000,2000.00
"(-73.08972, 75.18944)",1,25.94,25.94,25.94,2002,2002,2002.00
"(28.6765, 13.42767)",1,747,747,747.00,1995,1995,1995.00
"(27.61667, 3.85)",1,228,228,228.00,1989,1989,1989.00
"(37.43333, -3.65)",1,134000,134000,134000.00,1912,1912,1912.00
"(-76.96339, 156.91969)",1,15.2,15.2,15.20,1982,1982,1982.00
"(-84.23618, 161.45516)",1,30,30,30.00,1988,1988,1988.00
"(-72.97139, 160.46083)",1,60.33,60.33,60.33,1993,1993,1993.00
"(18.33333, 54.19333)",1,1180,1180,1180.00,2001,2001,2001.00
"(19.60308, 57.03332)",1,1066.2,1066.2,1066.20,2002,2002,2002.00
"(-76.26659, 156.44809)",1,2.4,2.4,2.40,1990,1990,1990.00
"(-76.68431, 159.3422)",1,27.8,27.8,27.80,1984,1984,1984.00
"(19.33183, 55.81017)",1,1453.1,1453.1,1453.10,2003,2003,2003.00
"(-76.2875, 157.23861)",1,402.1,402.1,402.10,1983,1983,1983.00
"(-25.46667, 142.8)",1,27000,27000,27000.00,1950,1950,1950.00
"(-84.28204, 161.3576)",1,43.8,43.8,43.80,1985,1985,1985.00
"(-76.285, 157.28889)",1,142.8,142.8,142.80,1983,1983,1983.00
"(18.73293, 54.58742)",1,61,61,61.00,2001,2001,2001.00
"(-84.27304, 161.41483)",1,1.9,1.9,1.90,1986,1986,1986.00
"(19.0504, 54.4906)",1,7.84,7.84,7.84,2001,2001,2001.00
"(-76.28378, 156.45397)",1,30.5,30.5,30.50,1990,1990,1990.00
"(-76.26817, 156.46544)",1,8.4,8.4,8.40,1987,1987,1987.00
"(27.1025, 16.23817)",1,209,209,209.00,1996,1996,1996.00
"(19.8015, 56.46762)",1,4820,4820,4820.00,2005,2005,2005.00
"(-34.225, 146.38167)",1,11300,11300,11300.00,1981,1981,1981.00
"(19.70517, 55.75342)",1,88.2,88.2,88.20,2010,2010,2010.00
"(-76.27323, 156.41981)",1,26.1,26.1,26.10,1990,1990,1990.00
"(-72.775, 75.34222)",1,8.52,8.52,8.52,2003,2003,2003.00
"(18.42333, 54.42333)",1,24.2,24.2,24.20,2004,2004,2004.00
"(-84.24585, 161.40079)",1,14.5,14.5,14.50,1988,1988,1988.00
"(19.98003, 56.3846)",1,4.97,4.97,4.97,2005,2005,2005.00
"(33.1, -96.7)",1,1407,1407,1407.00,1923,1923,1923.00
"(19.64415, 55.73958)",1,59.8,59.8,59.80,2009,2009,2009.00
"(-84.25434, 161.39192)",1,14.6,14.6,14.60,1988,1988,1988.00
"(18.2469, 53.9962)",1,69.2,69.2,69.20,2001,2001,2001.00
"(19.19467, 54.58133)",1,250,250,250.00,1999,1999,1999.00
"(27.09283, 16.12717)",1,112,112,112.00,2000,2000,2000.00
"(27.19567, 16.10033)",1,379,379,379.00,1996,1996,1996.00
"(-72.78583, 75.27472)",1,5.44,5.44,5.44,2006,2006,2006.00
"(-72.7736, 75.3203)",1,0.46,0.46,0.46,2003,2003,2003.00
"(-76.31944, 157.25667)",1,48.3,48.3,48.30,1983,1983,1983.00
"(18.73127, 54.82003)",1,441,441,441.00,2000,2000,2000.00
"(18.42, 54.24667)",1,86,86,86.00,2001,2001,2001.00
"(-72.981944, 75.246389)",1,200.2,200.2,200.20,2003,2003,2003.00
"(18.88617, 54.46905)",1,256,256,256.00,2011,2011,2011.00
"(19.66889, 55.7427)",1,397.8,397.8,397.80,2010,2010,2010.00
"(-72.95542, 160.43429)",1,9.73,9.73,9.73,1990,1990,1990.00
"(-72.979167, 75.266944)",1,0.76,0.76,0.76,2006,2006,2006.00
"(18.16, 54.13833)",1,1736,1736,1736.00,2000,2000,2000.00
"(26.85, 16.73333)",1,44000,44000,44000.00,1998,1998,1998.00
"(-84.25152, 161.39353)",1,7.3,7.3,7.30,1988,1988,1988.00
"(-72.775, 75.31861)",1,4.25,4.25,4.25,2003,2003,2003.00
"(27.8325, 15.88533)",1,505,505,505.00,1999,1999,1999.00
"(-72.9819, 75.2467)",1,8.24,8.24,8.24,2003,2003,2003.00
"(-76.26712, 156.43822)",1,11.8,11.8,11.80,1990,1990,1990.00
"(-76.69222, 159.295)",1,12.9,12.9,12.90,1981,1981,1981.00
"(-76.85858, 156.26751)",1,817.1,817.1,817.10,1985,1985,1985.00
"(-72.78056, 75.31694)",1,2953,2953,2953.00,2003,2003,2003.00
"(-76.28592, 156.44383)",1,6.3,6.3,6.30,1990,1990,1990.00
"(27.12017, 16.20833)",1,326,326,326.00,1996,1996,1996.00
"(-72.77944, 75.32944)",1,44.93,44.93,44.93,2006,2006,2006.00
"(-76.7219, 158.76158)",1,728.8,728.8,728.80,1981,1981,1981.00
"(-76.28277, 156.43681)",1,27.9,27.9,27.90,1987,1987,1987.00
"(-84.24829, 161.39342)",1,5.4,5.4,5.40,1988,1988,1988.00
"(-76.2797, 156.47386)",1,76.9,76.9,76.90,1990,1990,1990.00
"(-84.25849, 161.39663)",1,10.9,10.9,10.90,1986,1986,1986.00
"(19.32092, 57.22977)",1,2084.16,2084.16,2084.16,2007,2007,2007.00
"(-72.782778, 75.298889)",1,2.6,2.6,2.60,2006,2006,2006.00
"(-72.97833, 75.2911)",1,74.33,74.33,74.33,2006,2006,2006.00
"(26.32733, 27.33667)",1,15,15,15.00,2010,2010,2010.00
"(-22.21667, -68.90833)",1,20600,20600,20600.00,1997,1997,1997.00
"(-72.95235, 160.48365)",1,0.4,0.4,0.40,2011,2011,2011.00
"(-76.04507, 156.05937)",1,19.8,19.8,19.80,1992,1992,1992.00
"(-30.61667, 130.41667)",1,100000,100000,100000.00,1989,1989,1989.00
"(34.38167, -103.39167)",1,12.4,12.4,12.40,1969,1969,1969.00
"(-76.27158, 156.44175)",1,25.2,25.2,25.20,1990,1990,1990.00
"(19.64485, 55.64228)",1,29.9,29.9,29.90,2008,2008,2008.00
"(19.7606, 56.30812)",1,88.132,88.132,88.13,2007,2007,2007.00
"(27.028, 16.28283)",1,161,161,161.00,1998,1998,1998.00
"(19.98675, 56.38977)",1,17.52,17.52,17.52,2005,2005,2005.00
"(19.32833, 54.76333)",1,170,170,170.00,2002,2002,2002.00
"(-76.27414, 156.5056)",1,21.6,21.6,21.60,1990,1990,1990.00
"(-84.25459, 161.36919)",1,30.3,30.3,30.30,1986,1986,1986.00
"(27.15733, 16.41983)",1,223,223,223.00,1998,1998,1998.00
"(-76.65705, 159.32311)",1,8.7,8.7,8.70,1981,1981,1981.00
"(-84.2738, 161.69275)",1,19.3,19.3,19.30,1986,1986,1986.00
"(-84.29519, 161.3213)",1,25.1,25.1,25.10,1988,1988,1988.00
"(18.54667, 54.31)",1,410,410,410.00,2001,2001,2001.00
"(-72.8995, 161.12944)",1,0.2,0.2,0.20,2003,2003,2003.00
"(-72.95139, 160.4525)",1,1.8,1.8,1.80,1993,1993,1993.00
"(-72.98889, 160.40556)",1,2.7,2.7,2.70,2001,2001,2001.00
"(-76.27359, 156.48414)",1,6.6,6.6,6.60,1990,1990,1990.00
"(27.667, 4.64833)",1,122,122,122.00,2002,2002,2002.00
"(-19.11667, 145.41667)",1,7000,7000,7000.00,1991,1991,1991.00
"(-76.27779, 156.47871)",1,5.5,5.5,5.50,1990,1990,1990.00
"(19.32865, 54.53763)",1,90,90,90.00,2005,2005,2005.00
"(-72.95833, 160.5125)",1,9.62,9.62,9.62,1993,1993,1993.00
"(-30.11883, 126.88533)",1,3.5,3.5,3.50,1993,1993,1993.00
"(-72.773889, 75.343333)",1,2.44,2.44,2.44,2003,2003,2003.00
"(19.31028, 55.83092)",1,660.5,660.5,660.50,2003,2003,2003.00
"(27.23033, -9.7505)",1,1520,1520,1520.00,1998,1998,1998.00
"(18.24333, 54.14167)",1,414,414,414.00,2000,2000,2000.00
"(-84.2571, 161.4014)",1,6.5,6.5,6.50,1986,1986,1986.00
"(19.94587, 56.92713)",1,729.7,729.7,729.70,2002,2002,2002.00
"(-76.68111, 159.34611)",1,3.8,3.8,3.80,1981,1981,1981.00
"(19.43098, 55.36403)",1,22.1,22.1,22.10,2009,2009,2009.00
"(-76.05045, 156.21656)",1,23,23,23.00,1992,1992,1992.00
"(-72.7825, 75.301667)",1,0.82,0.82,0.82,2006,2006,2006.00
"(19.20183, 54.7385)",1,495,495,495.00,1999,1999,1999.00
"(-76.91131, 156.5405)",1,8,8,8.00,1985,1985,1985.00
"(18.73683, 54.51133)",1,44,44,44.00,1999,1999,1999.00
"(39.61667, -100.46306)",1,6760,6760,6760.00,1953,1953,1953.00
"(-77.02778, 157.03028)",1,47.2,47.2,47.20,1982,1982,1982.00
"(-84.24206, 161.44084)",1,7.3,7.3,7.30,1988,1988,1988.00
"(19.14217, 54.78683)",1,985,985,985.00,1999,1999,1999.00
"(19.26333, 54.72067)",1,623,623,623.00,1999,1999,1999.00
"(19.098, 54.80357)",1,633,633,633.00,2001,2001,2001.00
"(-76.26761, 156.53379)",1,1.6,1.6,1.60,1990,1990,1990.00
"(-84.34415, 161.46674)",1,0.2,0.2,0.20,1987,1987,1987.00
"(-33.31667, 19.61667)",1,60000,60000,60000.00,1882,1882,1882.00
"(-72.77611, 75.32639)",1,17.07,17.07,17.07,2006,2006,2006.00
"(27.49944, 3.68889)",1,361,361,361.00,1991,1991,1991.00
