"year","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
1790,1,6400,6400,6400.0,1790,1790,1790.0
920,1,NULL,NULL,NULL,920,920,920.0
1724,1,98000,98000,98000.0,1724,1724,1724.0
1781,1,158500,158500,158500.0,1781,1781,1781.0
1628,1,29000,29000,29000.0,1628,1628,1628.0
1716,1,1700,1700,1700.0,1716,1716,1716.0
1490,1,103.3,103.3,103.3,1490,1490,1490.0
1636,1,NULL,NULL,NULL,1636,1636,1636.0
1793,1,136000,136000,136000.0,1793,1793,1793.0
1817,1,0.2,0.2,0.2,1817,1817,1817.0
1654,1,NULL,NULL,NULL,1654,1654,1654.0
1668,1,40,40,40.0,1668,1668,1668.0
1751,1,49000,49000,49000.0,1751,1751,1751.0
860,1,472,472,472.0,860,860,860.0
1809,1,195,195,195.0,1809,1809,1809.0
1779,1,NULL,NULL,NULL,1779,1779,1779.0
1776,1,3000000,3000000,3000000.0,1776,1776,1776.0
1632,1,1040,1040,1040.0,1632,1632,1632.0
1623,1,10400,10400,10400.0,1623,1623,1623.0
1773,1,4000,4000,4000.0,1773,1773,1773.0
1801,1,220,220,220.0,1801,1801,1801.0
1704,1,NULL,NULL,NULL,1704,1704,1704.0
1723,1,39,39,39.0,1723,1723,1723.0
1791,1,NULL,NULL,NULL,1791,1791,1791.0
1792,1,1000000,1000000,1000000.0,1792,1792,1792.0
1621,1,1967,1967,1967.0,1621,1621,1621.0
1806,1,6000,6000,6000.0,1806,1806,1806.0
1491,1,127000,127000,127000.0,1491,1491,1491.0
1583,1,15000,15000,15000.0,1583,1583,1583.0
1785,1,3000,3000,3000.0,1785,1785,1785.0
1750,1,NULL,NULL,NULL,1750,1750,1750.0
1575,1,50000000,50000000,50000000.0,1575,1575,1575.0
1797,1,500000,500000,500000.0,1797,1797,1797.0
1740,1,24700,24700,24700.0,1740,1740,1740.0
1600,1,10100000,10100000,10100000.0,1600,1600,1600.0
1399,1,107000,107000,107000.0,1399,1399,1399.0
1671,1,4500,4500,4500.0,1671,1671,1671.0
1769,1,NULL,NULL,NULL,1769,1769,1769.0
1647,1,NULL,NULL,NULL,1647,1647,1647.0
1832,1,74800,74800,74800.0,1832,1832,1832.0
1519,1,NULL,NULL,NULL,1519,1519,1519.0
1820,1,5213,5213,5213.0,1820,1820,1820.0
1821,1,91000,91000,91000.0,1821,1821,1821.0
1749,1,700000,700000,700000.0,1749,1749,1749.0
