"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(39.82467, 36.13583)",1,40000,40000,40000.00,1989,1989,1989.00
"(25.38333, 72.01667)",1,3224.5,3224.5,3224.50,1937,1937,1937.00
"(-5.2, -36.66667)",1,1500,1500,1500.00,1836,1836,1836.00
"(55.18333, 27.91667)",1,3000,3000,3000.00,1893,1893,1893.00
"(35.13333, 113.33333)",1,NULL,NULL,NULL,1931,1931,1931.00
"(21.20833, 94.91667)",1,737.6,737.6,737.60,1939,1939,1939.00
"(36.54194, 29.41822)",1,5760,5760,5760.00,2008,2008,2008.00
"(44.11667, 27.26667)",1,0.15,0.15,0.15,1917,1917,1917.00
"(33.48472, -117.6625)",1,56,56,56.00,1973,1973,1973.00
"(20.88333, 76.86667)",1,17900,17900,17900.00,1939,1939,1939.00
"(16.88333, -99.9)",1,1914,1914,1914.00,1976,1976,1976.00
"(36.83333, -84.35)",1,17000,17000,17000.00,1919,1919,1919.00
"(56.58333, -3.25)",1,13400,13400,13400.00,1917,1917,1917.00
"(-22.96667, -44.31667)",1,1500,1500,1500.00,1869,1869,1869.00
"(41.68333, -3.8)",1,1440,1440,1440.00,1811,1811,1811.00
"(44.88333, 8.75)",1,908,908,908.00,1860,1860,1860.00
"(45.08333, 8.3)",1,6460,6460,6460.00,1840,1840,1840.00
"(31.61667, 113.46667)",1,260000,260000,260000.00,1986,1986,1986.00
"(24.16667, -99.33333)",1,60,60,60.00,1939,1939,1939.00
"(24.3, -102.13333)",1,50000,50000,50000.00,1978,1978,1978.00
"(44.86667, 133.16667)",1,637,637,637.00,1935,1935,1935.00
"(47.21667, 81.01667)",1,3000,3000,3000.00,1840,1840,1840.00
"(29.48195, -7.61123)",1,7000,7000,7000.00,2011,2011,2011.00
"(34.73333, 135.16667)",1,136,136,136.00,1999,1999,1999.00
"(44.55, 131.63333)",1,256000,256000,256000.00,1916,1916,1916.00
"(50.93333, 12.13333)",1,3000,3000,3000.00,1819,1819,1819.00
"(-26.45, 120.36667)",1,330000,330000,330000.00,1960,1960,1960.00
"(0.0, 0.0)",1,24.54,24.54,24.54,2010,2010,2010.00
"(36.85, 138.38333)",1,331,331,331.00,1906,1906,1906.00
"(11.65, -3.65)",1,18000,18000,18000.00,1924,1924,1924.00
"(-31.6, -65.23333)",1,1620,1620,1620.00,1930,1930,1930.00
"(38.80389, -120.90806)",1,992.5,992.5,992.50,2012,2012,2012.00
"(42.51667, 26.16667)",1,90,90,90.00,1931,1931,1931.00
"(41.8, -91.86667)",1,230000,230000,230000.00,1875,1875,1875.00
"(27.08333, 78.33333)",1,89,89,89.00,1822,1822,1822.00
"(12.9, 7.15)",1,180,180,180.00,1949,1949,1949.00
"(42.45, 9.03333)",1,41,41,41.00,1805,1805,1805.00
"(-10.26667, 38.76667)",1,6000,6000,6000.00,1949,1949,1949.00
"(-14.2, 48.1)",1,6000,6000,6000.00,2002,2002,2002.00
"(25.37, -97.37)",1,17226,17226,17226.00,1977,1977,1977.00
"(39.80417, 122.76389)",1,2910,2910,2910.00,1996,1996,1996.00
"(5.0, 48.0)",1,120000,120000,120000.00,1919,1919,1919.00
"(11.98333, 79.75)",1,2799,2799,2799.00,1944,1944,1944.00
"(-26.16667, 28.41667)",1,3880,3880,3880.00,1943,1943,1943.00
"(38.73333, -6.01667)",1,39000,39000,39000.00,1892,1892,1892.00
"(43.75, 5.11667)",1,7000,7000,7000.00,1897,1897,1897.00
"(43.76667, 20.23333)",1,1915,1915,1915.00,1891,1891,1891.00
"(37.46667, -77.5)",1,1800,1800,1800.00,1828,1828,1828.00
"(49.03333, -1.43333)",1,NULL,NULL,NULL,1750,1750,1750.00
"(37.83333, -76.7)",1,1265,1265,1265.00,1921,1921,1921.00
"(66.34833, 14.015)",1,253.6,253.6,253.60,1942,1942,1942.00
"(42.53333, -73.83333)",1,13.9,13.9,13.90,1859,1859,1859.00
"(32.43333, 119.86667)",1,630,630,630.00,1989,1989,1989.00
"(52.55, -8.03333)",1,2270,2270,2270.00,1865,1865,1865.00
"(50.775, 6.08333)",1,21,21,21.00,1880,1880,1880.00
"(31.60833, -102.85833)",1,2587,2587,2587.00,1998,1998,1998.00
"(55.9, -4.23333)",1,4500,4500,4500.00,1804,1804,1804.00
"(38.13333, 14.96667)",1,12,12,12.00,1922,1922,1922.00
"(52.73333, 84.08333)",1,23.2,23.2,23.20,1904,1904,1904.00
"(54.00883, 22.005)",1,1066,1066,1066.00,2011,2011,2011.00
"(37.41667, -6.0)",1,180,180,180.00,1862,1862,1862.00
"(52.75, 11.05)",1,43,43,43.00,1985,1985,1985.00
"(22.68, 70.31333)",1,100,100,100.00,2006,2006,2006.00
"(38.98333, 141.61667)",1,135000,135000,135000.00,1850,1850,1850.00
"(46.05, 4.63333)",1,9000,9000,9000.00,1798,1798,1798.00
"(-31.25, 26.46667)",1,150,150,150.00,1953,1953,1953.00
"(47.55, 22.025)",1,1100,1100,1100.00,1914,1914,1914.00
"(-44.11667, -66.15)",1,20000,20000,20000.00,1948,1948,1948.00
"(43.0, -80.0)",1,340,340,340.00,1887,1887,1887.00
"(42.53333, 12.61667)",1,5000,5000,5000.00,1890,1890,1890.00
"(50.35, 10.8)",1,2900,2900,2900.00,1775,1775,1775.00
"(26.96556, 72.62667)",1,40000,40000,40000.00,1994,1994,1994.00
"(50.61667, 36.6)",1,101000,101000,101000.00,1874,1874,1874.00
"(47.63333, 1.58333)",1,500,500,500.00,1838,1838,1838.00
"(31.58333, 71.6)",1,2950,2950,2950.00,1955,1955,1955.00
"(16.66667, 101.18333)",1,16700,16700,16700.00,1993,1993,1993.00
"(35.5, -93.5)",1,48500,48500,48500.00,1886,1886,1886.00
"(-7.5, 111.5)",1,166000,166000,166000.00,1884,1884,1884.00
"(45.81667, 44.63333)",1,3555,3555,3555.00,1951,1951,1951.00
"(54.61667, -6.21667)",1,4255,4255,4255.00,1902,1902,1902.00
"(48.7, 37.5)",1,600,600,600.00,1969,1969,1969.00
"(32.25, -8.15)",1,25000,25000,25000.00,2004,2004,2004.00
"(25.55, 83.11667)",1,3698,3698,3698.00,1932,1932,1932.00
"(18.75, 75.33333)",1,22,22,22.00,1866,1866,1866.00
"(43.38333, -80.38333)",1,202.6,202.6,202.60,1998,1998,1998.00
"(32.16667, -95.1)",1,1020,1020,1020.00,1917,1917,1917.00
"(43.83889, 20.33333)",1,212,212,212.00,1919,1919,1919.00
"(38.68333, -91.15)",1,1600,1600,1600.00,1877,1877,1877.00
"(10.2, 76.26667)",1,1460,1460,1460.00,1917,1917,1917.00
"(50.76667, 3.0)",1,4960,4960,4960.00,1962,1962,1962.00
"(9.5, 35.33333)",1,2450,2450,2450.00,1970,1970,1970.00
"(46.35, 30.58333)",1,8000,8000,8000.00,1881,1881,1881.00
"(49.4, 14.65)",1,7540,7540,7540.00,1753,1753,1753.00
"(39.91667, 42.81667)",1,50000,50000,50000.00,1981,1981,1981.00
"(19.86667, -100.81667)",1,300,300,300.00,1899,1899,1899.00
"(41.28333, -73.81667)",1,250,250,250.00,1869,1869,1869.00
"(35.38333, 134.9)",1,720,720,720.00,1880,1880,1880.00
"(-31.88333, -60.46667)",1,400,400,400.00,1957,1957,1957.00
"(30.18, -6.57717)",1,1215.5,1215.5,1215.50,1986,1986,1986.00
"(11.85, 8.21667)",1,13400,13400,13400.00,1971,1971,1971.00
"(30.83333, -97.76667)",1,3640,3640,3640.00,1922,1922,1922.00
"(54.33333, 56.08333)",1,4000,4000,4000.00,1946,1946,1946.00
"(25.85, 83.48333)",1,8200,8200,8200.00,1907,1907,1907.00
"(44.38333, 5.16667)",1,800,800,800.00,1836,1836,1836.00
"(49.6, 17.11667)",1,28000,28000,28000.00,1878,1878,1878.00
"(1.7, 33.63333)",1,2050,2050,2050.00,1945,1945,1945.00
"(43.5, 26.53333)",1,24700,24700,24700.00,1740,1740,1740.00
"(27.8, 67.16667)",1,22000,22000,22000.00,1905,1905,1905.00
"(37.35172, 27.32997)",1,3396,3396,3396.00,2007,2007,2007.00
"(43.5, 125.66667)",1,3900,3900,3900.00,1971,1971,1971.00
"(61.2, 27.7)",1,885,885,885.00,1813,1813,1813.00
"(28.53333, 109.31667)",1,3700,3700,3700.00,1998,1998,1998.00
"(20.66667, -101.28333)",1,399,399,399.00,1878,1878,1878.00
"(29.53333, 71.8)",1,1000,1000,1000.00,1868,1868,1868.00
"(45.81667, 125.91667)",1,42000,42000,42000.00,1984,1984,1984.00
"(41.76667, 62.51667)",1,1000,1000,1000.00,1989,1989,1989.00
"(31.0, 75.0)",1,1967,1967,1967.00,1621,1621,1621.00
"(22.25, 79.0)",1,691,691,691.00,1940,1940,1940.00
"(29.86667, 121.48333)",1,14250,14250,14250.00,1975,1975,1975.00
"(-31.23333, -58.16667)",1,45000,45000,45000.00,1985,1985,1985.00
"(39.7825, -104.93056)",1,230,230,230.00,1967,1967,1967.00
"(42.475, -5.33333)",1,17300,17300,17300.00,1947,1947,1947.00
"(36.16667, 3.66667)",1,50000,50000,50000.00,1865,1865,1865.00
"(36.83333, -97.33333)",1,2381,2381,2381.00,1906,1906,1906.00
"(43.53333, 22.63333)",1,3600,3600,3600.00,1873,1873,1873.00
"(-32.1, 28.33333)",1,3457,3457,3457.00,1956,1956,1956.00
"(46.24167, 126.19611)",1,1282,1282,1282.00,1986,1986,1986.00
"(59.85, 17.66667)",1,20000,20000,20000.00,1869,1869,1869.00
"(-32.86667, 18.71667)",1,37,37,37.00,1881,1881,1881.00
"(12.5, 0.7)",1,8800,8800,8800.00,1962,1962,1962.00
"(32.03333, -84.76667)",1,340,340,340.00,1869,1869,1869.00
"(40.41667, -3.71667)",1,400,400,400.00,1896,1896,1896.00
"(-33.13333, 19.38333)",1,5200,5200,5200.00,1838,1838,1838.00
"(35.41667, -79.38333)",1,1880,1880,1880.00,1913,1913,1913.00
"(-25.83333, -56.5)",1,NULL,NULL,NULL,1925,1925,1925.00
"(26.2, 85.4)",1,800,800,800.00,1942,1942,1942.00
"(59.93333, 14.95)",1,34000,34000,34000.00,1876,1876,1876.00
"(30.0, 90.75)",1,NULL,NULL,NULL,1944,1944,1944.00
"(-18.0, 16.0)",1,121.5,121.5,121.50,1900,1900,1900.00
"(26.03472, 73.94167)",1,42000,42000,42000.00,1996,1996,1996.00
"(26.21667, 69.55)",1,8400,8400,8400.00,1901,1901,1901.00
"(9.33333, 80.83333)",1,25.5,25.5,25.50,1795,1795,1795.00
"(-32.5, 21.9)",1,48000,48000,48000.00,1903,1903,1903.00
"(-7.0, 115.5)",1,1630,1630,1630.00,1908,1908,1908.00
"(-26.59278, 120.32833)",1,150000,150000,150000.00,1967,1967,1967.00
"(21.86667, 82.45)",1,230,230,230.00,1899,1899,1899.00
"(-32.33333, -64.86667)",1,NULL,NULL,NULL,1937,1937,1937.00
"(26.83333, 77.33333)",1,1500,1500,1500.00,1868,1868,1868.00
"(47.08333, 1.75)",1,2800,2800,2800.00,1879,1879,1879.00
"(48.01667, -1.15)",1,4000,4000,4000.00,1890,1890,1890.00
"(44.36667, -69.2)",1,5400,5400,5400.00,1871,1871,1871.00
"(-26.15, 26.18333)",1,4000,4000,4000.00,1973,1973,1973.00
"(58.55, 31.33333)",1,NULL,NULL,NULL,1662,1662,1662.00
"(9.36667, 42.41667)",1,34650,34650,34650.00,1981,1981,1981.00
"(42.13333, 12.93333)",1,3400,3400,3400.00,1872,1872,1872.00
"(52.75, 12.9)",1,1862,1862,1862.00,1854,1854,1854.00
"(34.33333, -98.3)",1,28100,28100,28100.00,1946,1946,1946.00
"(-10.66667, 35.5)",1,165,165,165.00,1899,1899,1899.00
"(27.35, 68.53333)",1,6400,6400,6400.00,1897,1897,1897.00
"(17.76667, 95.18333)",1,6045,6045,6045.00,1857,1857,1857.00
"(39.8, -101.2)",1,16000,16000,16000.00,1929,1929,1929.00
"(56.4, -3.43333)",1,2,2,2.00,1830,1830,1830.00
"(8.96667, 12.08333)",1,4850,4850,4850.00,1974,1974,1974.00
"(44.86667, 9.15)",1,1004,1004,1004.00,1903,1903,1903.00
"(26.91667, 83.96667)",1,5650,5650,5650.00,1878,1878,1878.00
"(43.38333, -5.15)",1,34000,34000,34000.00,1866,1866,1866.00
"(49.36667, 16.63333)",1,470,470,470.00,1833,1833,1833.00
"(46.45, 25.78333)",1,5000,5000,5000.00,1863,1863,1863.00
"(45.58333, -122.35)",1,225,225,225.00,1939,1939,1939.00
"(24.55, 84.83333)",1,5000,5000,5000.00,1865,1865,1865.00
"(59.43333, 10.7)",1,3763,3763,3763.00,2006,2006,2006.00
"(31.25, -99.03333)",1,1900,1900,1900.00,1980,1980,1980.00
"(34.2, 131.56667)",1,467,467,467.00,1897,1897,1897.00
"(53.18333, 13.15)",1,10500,10500,10500.00,1862,1862,1862.00
"(52.56667, -8.78333)",1,50000,50000,50000.00,1813,1813,1813.00
"(41.0, 112.0)",1,3000,3000,3000.00,1963,1963,1963.00
"(52.98333, 37.03333)",1,9000,9000,9000.00,1878,1878,1878.00
"(53.1, 23.2)",1,4000,4000,4000.00,1827,1827,1827.00
"(-33.0, -58.61667)",1,22000,22000,22000.00,1932,1932,1932.00
"(42.58333, -103.66667)",1,4100,4100,4100.00,1933,1933,1933.00
"(40.78167, -96.47167)",1,10000,10000,10000.00,1947,1947,1947.00
"(53.9, -112.88333)",1,303000,303000,303000.00,1960,1960,1960.00
"(-28.93333, -63.23333)",1,NULL,NULL,NULL,1931,1931,1931.00
"(42.71667, -99.38333)",1,340,340,340.00,1898,1898,1898.00
"(44.28333, 5.58333)",1,3833,3833,3833.00,1871,1871,1871.00
"(3.405, -76.51)",1,478,478,478.00,2007,2007,2007.00
"(42.53333, -85.88333)",1,32000,32000,32000.00,1899,1899,1899.00
"(26.46667, -105.23333)",1,1025,1025,1025.00,1988,1988,1988.00
"(48.5, 8.0)",1,4500,4500,4500.00,1671,1671,1671.00
"(47.36667, 1.73333)",1,54,54,54.00,1860,1860,1860.00
"(25.95, 80.81667)",1,4000,4000,4000.00,1822,1822,1822.00
"(47.71667, 5.36667)",1,4000,4000,4000.00,1815,1815,1815.00
"(50.18333, 12.73333)",1,107000,107000,107000.00,1399,1399,1399.00
"(-1.00278, 37.15028)",1,14200,14200,14200.00,2011,2011,2011.00
"(20.91667, 82.58333)",1,1600,1600,1600.00,1875,1875,1875.00
"(-4.26667, 35.35)",1,189.2,189.2,189.20,1957,1957,1957.00
"(27.7, 76.33333)",1,15000,15000,15000.00,1892,1892,1892.00
"(1.06667, 34.16667)",1,150000,150000,150000.00,1992,1992,1992.00
"(14.3, 79.76667)",1,13600,13600,13600.00,1852,1852,1852.00
"(47.11667, 7.55)",1,3422,3422,3422.00,1928,1928,1928.00
"(47.58333, 37.25)",1,107000,107000,107000.00,1938,1938,1938.00
"(15.08333, 120.7)",1,10500,10500,10500.00,1859,1859,1859.00
"(35.66667, 136.3)",1,4180,4180,4180.00,1913,1913,1913.00
"(58.66667, 25.73333)",1,23250,23250,23250.00,1863,1863,1863.00
"(52.21667, 11.25)",1,2250,2250,2250.00,1812,1812,1812.00
"(36.18333, 5.41667)",1,9000,9000,9000.00,1867,1867,1867.00
"(-3.66667, 32.5)",1,2936,2936,2936.00,1988,1988,1988.00
