"hemisphere","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"SOUTHERN",23404,60000000,0,10320.17,2012,1575,1989.54
"NORTHERN",14818,58200000,0,23986.52,2013,860,1990.27
